ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
0	50824.86	40.08	-1.888986e-08	0.003478041	3.382313e-05	9.211884e-09	0.0003337897	0.001092834	1.015029e-05	3.024466e-05	7.851916e-08	6.016808e-05	1.762274e-07	0.001183479	4.71625e-06
0.1680999	54030.78	40.08	4.965515e-08	0.003120124	5.207792e-05	1.334919e-07	0.0002960601	0.0009542828	8.197005e-06	3.275507e-05	3.125405e-08	5.720806e-05	2.123551e-07	0.001128966	4.304727e-06
0.3361001	55020.73	40.08	4.876681e-08	0.002991722	2.971493e-05	8.529932e-09	0.0003034755	0.001056447	8.306795e-06	2.45516e-05	3.069175e-08	5.677842e-05	1.810865e-07	0.001126142	4.569512e-06
0.5041003	48539.96	40.08	5.52836e-08	0.003717752	3.360901e-05	7.914796e-08	0.0003492811	0.001199418	7.643107e-06	3.646001e-05	-1.263624e-08	6.993237e-05	1.637808e-07	0.001254128	5.421135e-06
0.6721001	50871.23	40.08	5.275561e-08	0.003391425	3.810459e-05	3.13426e-08	0.0003598975	0.00115166	8.014223e-06	3.021652e-05	1.237002e-07	6.160403e-05	2.651255e-07	0.001190483	4.851773e-06
0.8401003	49260.59	40.08	5.448619e-08	0.003497197	3.756849e-05	3.237883e-08	0.0003790894	0.001215801	9.383776e-06	3.073215e-05	3.428072e-08	6.576096e-05	2.329177e-07	0.001250459	5.367279e-06
1.0081	50266.59	40.08	-5.529985e-08	0.003435792	3.417519e-05	2.106251e-07	0.0003722856	0.001171307	8.391842e-06	2.502208e-05	3.359469e-08	6.608503e-05	2.382705e-07	0.001297151	4.352346e-06
1.1761	48068.07	40.08	-5.782329e-08	0.003652012	4.361107e-05	5.658866e-08	0.0004358632	0.001216012	8.884535e-06	3.730125e-05	-1.276013e-08	6.821569e-05	2.596407e-07	0.001347966	5.012775e-06
1.3441	51533.75	40.08	1.581272e-07	0.003469211	6.604842e-05	-3.444812e-08	0.0004604354	0.001172311	1.13544e-05	3.343846e-05	1.667808e-07	6.625309e-05	2.324112e-07	0.001180006	5.236125e-06
1.5122	54197.8	40.08	-5.127312e-08	0.003202527	3.824053e-05	-1.200595e-08	0.0004891325	0.001120118	8.276124e-06	3.265305e-05	7.363296e-08	6.250895e-05	1.559705e-07	0.001340557	4.414905e-06
1.6802	49251.12	40.08	1.754425e-08	0.003650425	4.625446e-05	9.62102e-09	0.0005202882	0.001218182	9.384123e-06	2.978802e-05	3.428752e-08	6.577283e-05	2.227403e-07	0.001226785	5.776322e-06
1.8482	48532	40.08	9.286729e-08	0.003571078	4.495647e-05	1.255725e-07	0.0007906411	0.001237546	9.609398e-06	3.022926e-05	8.222923e-08	7.361458e-05	3.193919e-07	0.00126916	6.457466e-06
2.0162	47836.79	40.08	1.322968e-07	0.003580264	5.01824e-05	-1.35669e-08	0.0005724614	0.00127106	9.50734e-06	3.407706e-05	-1.282162e-08	7.088968e-05	2.398484e-07	0.001462323	5.421976e-06
2.1842	49140.5	40.08	1.760082e-08	0.003620738	4.902064e-05	3.254981e-08	0.0005923228	0.001336757	9.084026e-06	3.601295e-05	3.436483e-08	6.746429e-05	2.129971e-07	0.001276439	5.20993e-06
2.3522	52992.07	40.08	8.506685e-08	0.003685661	4.476173e-05	1.998761e-07	0.000560173	0.001234211	1.01675e-05	3.339532e-05	7.530854e-08	7.084498e-05	3.495055e-07	0.001235836	5.344836e-06
2.5203	49680.88	40.08	5.408136e-08	0.003979245	6.564778e-05	2.358327e-07	0.0009829031	0.001389756	9.903888e-06	3.374813e-05	-1.234558e-08	7.025061e-05	2.208123e-07	0.00132968	5.650469e-06
2.6883	64698.16	40.08	-1.476987e-08	0.003051515	3.568868e-05	7.686639e-08	0.0004987455	0.001055074	7.52366e-06	2.411701e-05	9.72641e-08	5.53728e-05	1.851199e-07	0.001335459	4.092962e-06
2.8563	50550.52	40.08	1.713203e-08	0.003792445	5.179743e-05	1.650938e-07	0.0006406961	0.001304489	1.077209e-05	3.316726e-05	7.894602e-08	8.864895e-05	2.867201e-07	0.001281147	5.17225e-06
3.0243	49790.71	40.08	-1.918071e-08	0.003549876	4.933626e-05	1.450505e-07	0.0007837117	0.001292375	1.016594e-05	3.273891e-05	8.015077e-08	7.142072e-05	3.113153e-07	0.001300222	5.318386e-06
3.1923	48547.71	40.08	-5.718235e-08	0.003948701	5.086906e-05	2.997832e-06	0.0007835359	0.001403779	1.125918e-05	2.926002e-05	3.478469e-08	7.562929e-05	3.192857e-07	0.001475482	5.661528e-06
3.3603	50492.87	40.08	1.716823e-08	0.003784755	4.968729e-05	5.882528e-07	0.0006333078	0.001311623	9.639144e-06	3.965871e-05	7.903627e-08	7.049275e-05	1.973213e-07	0.001231333	5.609327e-06
3.5283	51151.39	40.08	8.816605e-08	0.003528489	4.786094e-05	1.63198e-07	0.0005873156	0.001334995	1.008978e-05	3.41413e-05	-1.199044e-08	6.758494e-05	2.243041e-07	0.001259601	6.978872e-06
3.6963	50091.14	40.08	-1.904321e-08	0.003917295	4.683189e-05	1.666634e-07	0.0005768638	0.001445246	1.140446e-05	2.789365e-05	1.256274e-07	6.717041e-05	1.587057e-07	0.0013144	5.453607e-06
3.8643	53096.3	40.08	1.192494e-07	0.003771745	4.648894e-05	9.373593e-08	0.0008372642	0.001271067	9.897731e-06	3.376659e-05	-1.155115e-08	7.393911e-05	2.160874e-07	0.001218728	5.034571e-06
