ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
0	58653.52	40.08	-4.923217e-09	0.002648393	3.032477e-05	-6.331442e-09	0.0003294309	0.0008763045	5.643869e-06	3.029572e-05	2.915903e-08	5.936422e-05	3.210056e-07	0.001506211	9.041827e-06
0.1679997	53373.95	40.08	9.624762e-08	0.002867889	3.090461e-05	-6.958656e-09	0.0003455613	0.0008765607	6.105504e-06	2.67241e-05	3.204338e-08	7.171189e-05	3.527582e-07	0.00168681	8.449234e-06
0.3358998	56229.29	40.08	2.703089e-08	0.003241563	3.167434e-05	1.121637e-07	0.0002675845	0.000790427	6.198547e-06	2.245934e-05	3.041624e-08	6.554181e-05	4.412373e-07	0.001320226	6.684015e-06
0.5039997	51241.27	40.08	6.495889e-08	0.003174644	3.094264e-05	5.791545e-08	0.0002579283	0.001000983	6.108032e-06	2.51013e-05	3.337712e-08	6.877066e-05	4.550256e-07	0.001738429	7.648711e-06
0.6719999	51853.2	40.08	-5.565779e-09	0.003681672	4.51089e-05	3.148172e-07	0.0002495462	0.0009842251	5.638539e-06	2.525539e-05	-1.143886e-08	6.111104e-05	3.920178e-07	0.001472313	6.866273e-06
0.8399997	48171.73	40.08	-4.353527e-08	0.003316795	2.947442e-05	2.002395e-07	0.0002413462	0.001021262	7.074443e-06	3.009447e-05	3.550402e-08	6.504393e-05	2.874482e-07	0.001694447	6.749078e-06
1.0079	58614.45	40.08	1.185014e-07	0.002611013	2.973841e-05	6.961695e-08	0.000208961	0.000858924	5.03185e-06	2.393581e-05	6.847667e-08	5.41163e-05	3.892882e-07	0.001441901	5.455258e-06
1.176	55203	40.08	-5.225856e-09	0.002799615	2.426327e-05	1.14244e-07	0.0002279565	0.0009967007	7.555155e-06	2.329942e-05	3.036127e-06	5.488917e-05	4.043218e-07	0.001492077	7.757776e-06
1.344	45884.56	40.08	3.313006e-08	0.003743663	3.104671e-05	1.859593e-07	0.0003011729	0.001229614	5.642242e-06	2.7013e-05	3.72739e-08	7.496877e-05	4.755771e-07	0.001584947	7.597607e-06
1.512	51814.45	40.08	9.914987e-08	0.002999509	3.144602e-05	1.430577e-08	0.000593096	0.001042635	6.387689e-06	1.941375e-05	3.300813e-08	6.370942e-05	4.211494e-07	0.001470939	7.595834e-06
1.6799	54324.81	40.08	-5.308118e-09	0.002868723	2.803118e-05	1.365766e-07	0.0004128012	0.000940081	4.661178e-06	2.195599e-05	-1.091821e-08	6.450932e-05	4.291952e-07	0.00148238	7.943891e-06
