ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
0	47748.08	40.08	3.606937e-09	0.004430411	8.683858e-05	2.658369e-07	0.001072846	0.002696999	6.661486e-06	3.062443e-05	5.262575e-07	4.228216e-05	5.802797e-07	0.001364003	1.381746e-05
0.1679997	54068.76	40.08	3.577991e-08	0.004100962	7.267057e-05	5.996181e-07	0.0009450024	0.002441443	5.235278e-06	2.18076e-05	5.077629e-07	3.825979e-05	6.567632e-07	0.001444164	1.415946e-05
0.336	49598.45	40.08	3.900597e-08	0.004223492	7.190226e-05	3.222086e-07	0.0009868444	0.003084467	6.280122e-06	3.186534e-05	4.597213e-07	4.296319e-05	7.454372e-07	0.001364222	1.212892e-05
0.5039997	56908.27	40.08	6.496397e-08	0.003754202	6.287679e-05	1.321166e-06	0.0007400547	0.002588772	4.974185e-06	2.071947e-05	4.415488e-07	3.323574e-05	6.154281e-07	0.001351388	1.039725e-05
0.6719999	51297.27	40.08	3.36206e-09	0.003828505	7.449366e-05	1.833464e-07	0.0009103644	0.0028224	4.608828e-06	1.976595e-05	3.537967e-07	4.554365e-05	8.538631e-07	0.001437133	1.172722e-05
0.8400998	48516.79	40.08	3.555978e-09	0.004363423	7.360397e-05	2.842112e-07	0.0009359887	0.002902438	5.061217e-06	2.235774e-05	4.699704e-07	4.161217e-05	7.319182e-07	0.001479815	1.199987e-05
1.0081	51258.76	40.08	3.774723e-08	0.004168251	6.066584e-05	1.01756e-06	0.00105616	0.00289375	5.285175e-06	2.5765e-05	3.994464e-07	4.569927e-05	7.783414e-07	0.001472582	1.087979e-05
1.1761	52492.29	40.08	-3.028345e-08	0.004458797	6.869081e-05	3.253213e-07	0.001051008	0.003553805	4.639351e-06	2.471003e-05	3.457423e-07	4.006067e-05	7.136258e-07	0.001635928	1.107598e-05
1.3441	55436.16	40.08	6.669454e-08	0.004150904	6.856447e-05	2.68505e-07	0.000743417	0.002580939	4.319864e-06	1.914146e-05	2.43454e-07	3.770927e-05	7.637364e-07	0.001365563	1.024531e-05
1.5121	55846.54	40.08	3.464955e-08	0.004270084	5.69435e-05	3.450301e-07	0.0007257423	0.002386564	3.943303e-06	1.646574e-05	4.499432e-07	4.077495e-05	7.40582e-07	0.00133307	1.029749e-05
1.6801	51273.11	40.08	1.064828e-07	0.004234351	6.346705e-05	8.890223e-07	0.0007808966	0.002479735	5.234464e-06	2.575776e-05	3.539633e-07	4.495798e-05	8.162405e-07	0.001486988	1.079193e-05
1.8482	53304.97	40.08	3.243318e-09	0.003884054	5.952427e-05	4.23161e-07	0.0006578245	0.002550771	4.359702e-06	1.946408e-05	2.968293e-07	4.125963e-05	6.753147e-07	0.001419678	1.074389e-05
2.0162	46082.41	40.08	4.199516e-08	0.004494455	6.21217e-05	2.516547e-07	0.00103131	0.002822045	5.274045e-06	3.275536e-05	4.0461e-08	4.921151e-05	7.388515e-07	0.00161086	1.080739e-05
2.1842	45698.68	40.08	4.234911e-08	0.004275686	5.321115e-05	5.6554e-07	0.0006118013	0.003014335	5.595869e-06	2.580174e-05	1.426121e-07	4.356552e-05	8.09047e-07	0.00156025	1.067351e-05
