ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
0	59844.51	40.08	-2.690463e-08	0.002984965	1.865573e-05	-1.290415e-08	0.0002448371	0.001385132	8.600192e-07	3.038962e-05	3.004915e-08	1.318949e-05	5.11058e-07	0.001191803	6.202122e-06
0.1680002	59234.32	40.08	4.267372e-09	0.0031779	1.988206e-05	-3.124539e-08	0.0002492967	0.00141619	1.22728e-06	2.991745e-05	1.079828e-07	1.170929e-05	4.373612e-07	0.001272795	5.246365e-06
0.3359003	60422.86	40.08	-2.664056e-08	0.002833862	1.576887e-05	1.121803e-07	0.0002618617	0.001452188	1.094314e-06	3.125303e-05	2.976154e-08	1.278011e-05	3.59951e-07	0.001195106	5.112626e-06
0.5039001	58655.86	40.08	-2.743973e-08	0.003034122	1.782928e-05	4.200481e-08	0.0002483683	0.001370864	8.77325e-07	3.893764e-05	-8.536696e-09	1.223269e-05	3.97374e-07	0.001254586	5.08591e-06
0.6719999	63947.28	40.08	-2.516609e-08	0.002828541	1.725626e-05	2.166271e-08	0.0002371287	0.001262051	6.229237e-07	2.152699e-05	2.812127e-08	1.127383e-05	6.89646e-07	0.00110496	4.758716e-06
0.8400002	57117.21	40.08	4.439522e-09	0.003022289	1.688753e-05	-3.239888e-08	0.0002188662	0.00156423	1.237233e-06	3.184016e-05	-8.766625e-09	1.244261e-05	4.808668e-07	0.001335541	5.117993e-06
1.0081	61658.43	40.08	-2.609387e-08	0.002826331	1.650283e-05	2.246903e-08	0.0002510137	0.001507041	9.492412e-07	2.45924e-05	-8.120935e-09	1.091602e-05	6.731032e-07	0.001324316	5.032464e-06
1.1762	61482.76	40.08	3.442679e-08	0.003026255	1.628193e-05	-1.255272e-08	0.0002940981	0.001531667	1.091681e-06	2.957917e-05	2.924853e-08	1.239305e-05	4.974377e-07	0.001148141	4.687109e-06
1.3441	58191.63	40.08	-2.764163e-08	0.003283617	1.431154e-05	5.274202e-09	0.0002126692	0.001373948	6.930084e-07	3.245073e-05	3.090274e-08	1.303526e-05	4.630566e-07	0.001327623	4.730542e-06
1.5121	57016.94	40.08	4.461331e-09	0.003212515	1.689658e-05	8.105446e-08	0.0002855636	0.001412629	1.354522e-06	3.679367e-05	7.186082e-08	1.28236e-05	4.725964e-07	0.001235565	5.393548e-06
1.6801	63666.6	40.08	3.32554e-08	0.002720713	1.535376e-05	1.064733e-07	0.0002140483	0.001453564	9.826897e-07	2.929474e-05	6.435532e-08	1.041074e-05	4.477235e-07	0.001034132	4.345382e-06
1.8481	56220.27	40.08	3.766363e-08	0.003125437	1.456233e-05	8.220542e-08	0.0002260593	0.001530913	8.610936e-07	2.572573e-05	7.287912e-08	1.337018e-05	5.439986e-07	0.001245452	4.994646e-06
2.0161	63068.45	40.08	6.311161e-08	0.002824937	1.322352e-05	2.197303e-08	0.0001924143	0.001343524	1.192328e-06	2.772892e-05	6.496567e-08	1.22978e-05	5.17889e-07	0.001161281	4.393895e-06
2.1841	54429.98	40.08	1.415753e-07	0.003147787	1.616506e-05	-1.41719e-08	0.0002049412	0.001513547	7.221273e-07	3.383843e-05	3.303848e-08	1.224003e-05	5.046043e-07	0.001378267	5.175813e-06
2.3521	57907.46	40.08	6.874343e-08	0.00316295	1.549896e-05	2.393368e-08	0.0002347892	0.001390724	1.150115e-06	3.582576e-05	1.898595e-07	1.457516e-05	4.384037e-07	0.001253903	4.769532e-06
2.5201	55836.16	40.08	-2.87829e-08	0.003075035	1.609511e-05	-7.176561e-08	0.0001848446	0.001505874	5.590455e-07	3.590531e-05	3.220645e-08	1.217626e-05	4.453591e-07	0.001278971	4.830952e-06
2.6881	59184.12	40.08	4.32157e-09	0.002866117	1.552248e-05	4.164455e-08	0.0002157897	0.001390462	1.048297e-06	2.994127e-05	3.038459e-08	1.102542e-05	3.850423e-07	0.001151115	4.580973e-06
2.8563	58037.89	40.08	6.859943e-08	0.003114787	1.451179e-05	2.388334e-08	0.0001983028	0.001364144	1.068959e-06	2.812861e-05	7.059671e-08	1.106668e-05	4.374174e-07	0.001143969	4.98095e-06
