ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
0	54390.09	40.08	4.395909e-08	0.003864909	2.938613e-05	-1.675906e-08	0.0005976588	0.002183755	1.665216e-05	2.053991e-05	-8.742629e-09	6.90545e-05	4.839924e-07	0.001288471	7.371008e-06
0.1675	55693.08	40.08	7.654462e-08	0.003617384	2.89124e-05	2.241024e-08	0.0008503312	0.002174202	1.69982e-05	1.502519e-05	3.26417e-08	6.431072e-05	7.097474e-07	0.001263082	7.356425e-06
0.336	52745.42	40.08	1.518074e-07	0.003713574	2.908403e-05	4.413491e-08	0.0003155216	0.002266615	1.6682e-05	1.98515e-05	3.446589e-08	7.616469e-05	7.879092e-07	0.001245559	7.65914e-06
0.5038996	55360.18	40.08	4.318854e-08	0.003514442	2.672188e-05	2.254555e-08	0.0002806371	0.00217201	1.604913e-05	1.764777e-05	1.156928e-07	7.190162e-05	7.690348e-07	0.001354591	7.805715e-06
0.6718998	57018.35	40.08	1.404308e-07	0.003644118	2.617428e-05	-3.492334e-08	0.0002362997	0.00215458	1.753479e-05	1.467596e-05	3.188307e-08	7.757526e-05	7.021556e-07	0.001282588	7.501575e-06
0.8399	56865.07	40.08	4.204542e-08	0.003854756	2.637039e-05	2.194942e-08	0.0003431165	0.002275579	1.923941e-05	2.498726e-05	-8.362039e-09	7.660462e-05	6.951217e-07	0.001263761	7.127459e-06
1.0078	59172.48	40.08	4.040579e-08	0.003779626	2.477921e-05	-7.014832e-08	0.0002069096	0.002210831	1.671633e-05	1.927472e-05	3.072242e-08	7.577195e-05	6.251215e-07	0.001184827	7.027858e-06
1.1758	58795.81	40.08	1.361851e-07	0.003598972	2.692103e-05	2.122915e-08	0.0001694741	0.002261416	1.858135e-05	1.860345e-05	-8.087415e-09	8.379577e-05	5.167994e-07	0.001404965	6.983142e-06
1.3438	57486.52	40.08	2.695481e-07	0.003681065	2.349951e-05	2.171292e-08	0.0001468763	0.002410339	1.915429e-05	2.024644e-05	-8.271597e-09	8.78664e-05	5.904725e-07	0.001316066	7.846049e-06
1.5117	57624.38	40.08	4.149107e-08	0.003633232	2.216463e-05	1.340932e-07	0.0003593065	0.002231495	1.744604e-05	1.370665e-05	7.134748e-08	8.188541e-05	8.446225e-07	0.001210066	1.075529e-05
1.6802	59508.86	40.08	7.163572e-08	0.003574131	2.136303e-05	3.912081e-08	0.0003585834	0.002113524	1.9816e-05	1.287998e-05	3.054883e-08	8.132399e-05	6.983643e-07	0.001198036	8.799913e-06
1.8482	57514.31	40.08	7.41199e-08	0.003608441	2.293022e-05	7.80268e-08	0.0003379604	0.002223322	2.280864e-05	1.57681e-05	-8.267552e-09	8.338493e-05	4.75358e-07	0.001331907	7.429284e-06
2.0161	52316.42	40.08	1.530511e-07	0.003925667	2.629912e-05	4.449968e-08	0.0001197338	0.002363481	1.951558e-05	1.55439e-05	3.474871e-08	9.943978e-05	7.1675e-07	0.001381747	8.495271e-06
2.1841	54658.27	40.08	4.37423e-08	0.003765397	2.360668e-05	-3.642886e-08	0.0001188183	0.002413431	1.795648e-05	1.91568e-05	-8.699522e-09	9.554862e-05	7.231914e-07	0.001331063	8.469386e-06
2.3521	53727.11	40.08	9.656356e-09	0.003723597	2.467949e-05	3.135948e-09	0.000141157	0.002402351	2.169245e-05	2.427238e-05	-8.850279e-09	9.764227e-05	6.412407e-07	0.001323681	9.451795e-06
2.5205	54907.32	40.08	7.763872e-08	0.004234094	2.609762e-05	-1.659713e-08	0.0001409844	0.002367831	2.163281e-05	1.821887e-05	7.48782e-08	9.486987e-05	8.679316e-07	0.001423349	8.927898e-06
2.688	64233.75	40.08	6.636584e-08	0.003481992	4.702055e-05	3.624456e-08	8.269075e-05	0.002101913	1.937721e-05	1.884723e-05	2.830182e-08	8.685316e-05	6.786883e-07	0.001126514	9.277823e-06
2.8565	56715.84	40.08	1.411782e-07	0.003726917	2.199622e-05	2.97148e-09	9.863557e-05	0.002186005	2.070982e-05	2.216943e-05	3.205336e-08	0.0001016875	7.059078e-07	0.001243812	8.713056e-06
3.0239	55728.64	40.08	2.108639e-07	0.003773877	2.771974e-05	1.192811e-07	9.212003e-05	0.002213164	2.302712e-05	1.375367e-05	7.377472e-08	9.311e-05	7.366314e-07	0.001294605	8.519888e-06
3.1924	56182.85	40.08	7.587527e-08	0.003951015	2.377012e-05	-1.621927e-08	9.174825e-05	0.002245333	2.126735e-05	2.071632e-05	3.235748e-08	9.098144e-05	7.66819e-07	0.00141357	8.850597e-06
3.3599	53508.22	40.08	9.694789e-09	0.003843229	2.78026e-05	1.040513e-07	0.0004955445	0.002430783	2.364024e-05	1.869529e-05	-8.886382e-09	9.508972e-05	5.488998e-07	0.001462654	1.145897e-05
3.5283	56327.35	40.08	1.42151e-07	0.003701115	2.223242e-05	7.96737e-08	0.0001296189	0.002107934	2.402773e-05	2.06632e-05	7.299062e-08	8.746791e-05	6.657166e-07	0.00120491	8.812226e-06
3.6958	51109.65	40.08	1.200343e-07	0.003951432	2.222473e-05	4.555331e-08	0.0001209244	0.002354994	2.293068e-05	2.460126e-05	-9.303385e-09	9.633163e-05	7.138141e-07	0.001364958	9.074591e-06
3.8643	53876.57	40.08	9.62786e-09	0.003745998	2.898198e-05	6.325632e-08	0.0001156871	0.002494226	2.263875e-05	1.205817e-05	3.374267e-08	9.32549e-05	7.713793e-07	0.001222308	8.518725e-06
4.0322	52282.21	40.08	9.921245e-09	0.00395958	3.699767e-05	-3.808132e-08	8.698912e-05	0.002425635	2.23092e-05	2.092131e-05	1.225045e-07	9.648425e-05	8.726781e-07	0.001219163	1.080847e-05
4.2002	53228.67	40.08	8.008492e-08	0.00355385	2.53127e-05	-1.711776e-08	8.131667e-05	0.002239661	2.307609e-05	1.527757e-05	1.634126e-07	9.786168e-05	7.330844e-07	0.001306943	9.35837e-06
4.3682	61810.99	40.08	9.925194e-08	0.003348139	1.881874e-05	2.7287e-09	0.0002443711	0.002023779	2.500239e-05	1.50501e-05	2.941132e-08	8.264283e-05	7.4636e-07	0.001169496	8.172889e-06
4.5361	53690.99	40.08	9.660276e-09	0.004033214	3.061197e-05	-1.696982e-08	0.0001287668	0.002430689	2.399375e-05	1.689106e-05	-8.856016e-09	9.64559e-05	8.119623e-07	0.001362314	8.810434e-06
4.7041	61757.87	40.08	8.398255e-09	0.003316093	1.804687e-05	-3.223746e-08	0.0001256894	0.002133045	2.233384e-05	1.960297e-05	-7.699219e-09	8.331278e-05	5.660821e-07	0.001240091	8.600719e-06
4.8721	61593.9	40.08	3.881399e-08	0.003538438	3.372873e-05	-1.4792e-08	0.0001415129	0.002123773	2.207913e-05	1.586184e-05	-7.7197e-09	8.822764e-05	6.335242e-07	0.001252038	7.451375e-06
5.0401	55182.26	40.08	9.398584e-09	0.003828529	3.066955e-05	2.262554e-08	7.825028e-05	0.002438697	2.582511e-05	2.490278e-05	7.450544e-08	9.908818e-05	7.531313e-07	0.001382798	1.001675e-05
5.2085	54988.8	40.08	4.347578e-08	0.003886204	6.340162e-05	2.270541e-08	8.327947e-05	0.002420277	2.316781e-05	2.329082e-05	-8.646937e-09	8.916937e-05	8.204968e-07	0.001304465	9.25095e-06
5.376	56481.31	40.08	7.547143e-08	0.003676602	2.027938e-05	2.210568e-08	7.533877e-05	0.002416532	2.487908e-05	1.853867e-05	-8.418427e-09	9.919116e-05	6.549196e-07	0.001351093	9.014304e-06
5.5445	56086.85	40.08	7.6002e-08	0.003957088	2.088778e-05	-1.624333e-08	6.393973e-05	0.002378967	2.112885e-05	2.033538e-05	3.241312e-08	9.575192e-05	7.138329e-07	0.001273882	1.002807e-05
5.7124	55909.27	40.08	9.275543e-09	0.00379784	2.031702e-05	9.958651e-08	9.912547e-05	0.002298011	2.069638e-05	1.998208e-05	3.251609e-08	9.010468e-05	7.161008e-07	0.001260345	9.342849e-06
5.8804	53366.31	40.08	1.149553e-07	0.004106369	2.199709e-05	3.162999e-09	0.0001307295	0.002430911	2.096934e-05	2.18099e-05	1.200161e-07	0.0001065565	7.787619e-07	0.001338879	9.622963e-06
6.0488	55605.63	40.08	4.299242e-08	0.00387044	3.44222e-05	8.071186e-08	6.956944e-05	0.002283557	1.985102e-05	1.883066e-05	-8.550936e-09	9.168412e-05	6.834943e-07	0.001279029	8.855339e-06
6.2163	55961.93	40.08	1.09623e-07	0.003737472	4.374127e-05	2.231218e-08	0.0001068893	0.002297612	1.93257e-05	2.372093e-05	3.248554e-08	8.695845e-05	7.698567e-07	0.001262989	1.334727e-05
6.3848	60446.66	40.08	7.051921e-08	0.003660764	2.774238e-05	3.852079e-08	8.787652e-05	0.002018731	1.743884e-05	2.118794e-05	3.007536e-08	8.534224e-05	5.362904e-07	0.001208371	1.012902e-05
6.5523	58589.3	40.08	7.275455e-08	0.00358745	1.837457e-05	5.817228e-08	7.441509e-05	0.002259848	1.634906e-05	1.827053e-05	-8.115433e-09	8.133937e-05	8.047376e-07	0.001400265	1.041247e-05
6.7207	60570.91	40.08	1.012809e-07	0.003499788	2.91802e-05	2.061513e-08	0.0001440777	0.002192415	1.752823e-05	1.651558e-05	3.00137e-08	8.072978e-05	6.861347e-07	0.001258658	1.018106e-05
6.8882	58231.31	40.08	7.320138e-08	0.003643451	1.956816e-05	1.141606e-07	0.0003501286	0.002304888	2.315939e-05	2.440151e-05	-8.165293e-09	8.495402e-05	6.613955e-07	0.001709479	9.522552e-06
7.0567	73806.87	40.08	3.238923e-08	0.002962483	1.840048e-05	9.006934e-08	5.2698e-05	0.001850619	1.424719e-05	1.482009e-05	-6.442149e-09	7.085019e-05	7.145455e-07	0.001060565	7.829476e-06
7.2241	68510.17	40.08	7.567998e-09	0.003239752	2.234014e-05	-2.905693e-08	6.394559e-05	0.002040761	1.593303e-05	1.494275e-05	9.348726e-08	7.304159e-05	7.326659e-07	0.001061893	8.434791e-06
7.3926	61529.64	40.08	6.927678e-08	0.003779575	1.794031e-05	3.784424e-08	5.896514e-05	0.002299111	2.107427e-05	2.385297e-05	2.95461e-08	8.302062e-05	7.745347e-07	0.001246125	9.828844e-06
7.5606	62461.24	40.08	3.827192e-08	0.003447444	1.689371e-05	-1.45828e-08	9.09084e-05	0.002071142	1.554517e-05	1.938244e-05	-7.612275e-09	7.495314e-05	6.653721e-07	0.001085927	9.018784e-06
7.7285	52719.76	40.08	8.085298e-08	0.003951972	2.718122e-05	-1.72771e-08	5.494239e-05	0.002452495	2.00795e-05	1.897519e-05	-9.018843e-09	8.55557e-05	7.594313e-07	0.001356247	1.013366e-05
7.8965	58994.78	40.08	4.052033e-08	0.003656956	1.965722e-05	1.309882e-07	6.096784e-05	0.002238858	1.70676e-05	1.378452e-05	-8.059533e-09	7.92434e-05	7.647911e-07	0.001339057	9.959683e-06
8.0645	56495.15	40.08	7.544939e-08	0.003774999	1.745957e-05	9.855748e-08	7.587924e-05	0.002386852	1.832466e-05	1.936146e-05	1.133696e-07	8.869448e-05	8.345731e-07	0.001422894	9.791756e-06
8.2324	61954.59	40.08	9.901705e-08	0.003582338	1.831555e-05	2.727896e-09	6.227311e-05	0.002173872	1.832183e-05	1.426116e-05	-7.674469e-09	7.459063e-05	7.610311e-07	0.001141233	8.743988e-06
8.4004	61841.71	40.08	-2.188885e-08	0.003575754	2.632751e-05	7.257633e-08	5.833026e-05	0.002162847	1.876536e-05	1.655412e-05	-7.688463e-09	8.108067e-05	6.884582e-07	0.001548315	9.251653e-06
