ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
0	50642.8	40.08	-2.87947e-08	0.002761012	3.727561e-05	-7.936758e-09	0.0004571639	0.001312661	2.873467e-05	1.389307e-05	-7.645796e-09	3.915839e-05	6.65233e-07	0.001828326	8.866233e-06
0.1679997	53516.11	40.08	8.545457e-09	0.002755713	3.44614e-05	1.151559e-07	0.0004096036	0.001296911	2.600404e-05	1.444994e-05	-7.235291e-09	3.954379e-05	5.917461e-07	0.001859969	9.68668e-06
0.336	55708.05	40.08	-2.617397e-08	0.002594342	2.985416e-05	1.242502e-08	0.0004150025	0.001254158	2.759599e-05	2.097758e-05	-6.950605e-09	3.739042e-05	6.047468e-07	0.001993465	9.245483e-06
0.5042	60185.32	40.08	1.030803e-07	0.002944493	3.234941e-05	-4.303601e-08	0.0003636671	0.001296296	2.532135e-05	1.169028e-05	1.09161e-07	3.920117e-05	6.51887e-07	0.001764374	8.946881e-06
0.6721997	57104.14	40.08	7.509957e-08	0.002734484	9.859334e-05	1.21214e-08	0.0003684698	0.001253146	2.63551e-05	1.517398e-05	3.382991e-08	4.131639e-05	4.751203e-07	0.001892651	8.48497e-06
0.8400998	57345.69	40.08	7.979628e-09	0.002610684	2.654022e-05	1.207042e-08	0.0003209711	0.001168425	2.490235e-05	1.145863e-05	2.015631e-06	3.678698e-05	6.84167e-07	0.00165275	8.281652e-06
1.0081	54516.99	40.08	4.35304e-08	0.002747224	2.862507e-05	1.269679e-08	0.0003436624	0.001226551	2.767184e-05	1.845183e-05	-7.102464e-09	3.668113e-05	5.716364e-07	0.001936372	9.386099e-06
1.1761	53007.78	40.08	8.09068e-08	0.00279882	2.85982e-05	-7.58208e-09	0.0003451678	0.001288267	2.800479e-05	1.32732e-05	8.019338e-08	4.425799e-05	6.73591e-07	0.001883333	9.353636e-06
1.344	55056.53	40.08	8.315188e-09	0.00286564	0.0001022376	-2.717224e-08	0.0003068314	0.001137305	2.876252e-05	1.869312e-05	-7.032865e-09	3.184903e-05	6.3937e-07	0.001652058	8.641123e-06
1.512	48570.28	40.08	1.277384e-07	0.002868645	2.513284e-05	1.268826e-07	0.0003171315	0.001287148	2.762946e-05	1.68783e-05	8.75202e-08	3.445803e-05	7.766445e-07	0.00184913	9.812329e-06
1.6802	49666.46	40.08	4.778705e-08	0.002664197	2.326926e-05	-8.091905e-09	0.0002936015	0.001237365	2.771072e-05	1.276237e-05	8.558861e-08	3.738209e-05	6.579111e-07	0.001885031	9.58733e-06
1.8482	49200.17	40.08	1.261055e-07	0.002615576	2.556981e-05	-5.264413e-08	0.0003297668	0.00120455	3.030793e-05	1.618985e-05	3.926493e-08	3.983334e-05	6.231654e-07	0.001909119	1.0069e-05
2.0161	50733.83	40.08	9.029144e-09	0.002728684	2.389484e-05	-2.948706e-08	0.000262192	0.001265834	3.124388e-05	2.028584e-05	-7.632095e-09	3.508754e-05	7.335891e-07	0.001964794	9.640983e-06
2.1841	52845.44	40.08	8.669669e-09	0.002721132	3.444156e-05	5.450666e-08	0.0002585466	0.00121497	2.796492e-05	2.25537e-05	8.044017e-08	3.292959e-05	5.706411e-07	0.001634353	9.319056e-06
2.3521	50081.52	40.08	-2.909733e-08	0.002798965	2.14906e-05	3.566843e-08	0.000253599	0.001250181	2.83205e-05	1.636898e-05	8.48796e-08	3.547777e-05	5.518091e-07	0.00179461	9.658115e-06
2.5201	50567.43	40.08	4.694216e-08	0.002796622	7.868942e-05	3.532577e-08	0.0002353828	0.001130783	2.846414e-05	1.897382e-05	3.820342e-08	3.342643e-05	7.160668e-07	0.001923367	9.912507e-06
2.6883	51621.14	40.08	4.598519e-08	0.002488017	1.956784e-05	1.340989e-08	0.0002848142	0.001692596	3.108532e-05	1.588077e-05	3.742363e-08	6.04296e-05	6.526262e-07	0.001929334	1.061759e-05
2.8562	57059.87	40.08	4.160319e-08	0.002631932	1.91363e-05	6.097018e-06	0.0003972671	0.001173009	2.748316e-05	1.600034e-05	3.385659e-08	3.248052e-05	6.610928e-07	0.001670666	8.000898e-06
3.0242	51465.34	40.08	-2.830959e-08	0.002860309	2.308738e-05	9.848681e-08	0.0002865271	0.001303016	3.068042e-05	1.909437e-05	3.7537e-08	3.297282e-05	9.779135e-07	0.001963519	9.601413e-06
3.1922	54201.43	40.08	4.379958e-08	0.002620467	2.096707e-05	1.277173e-08	0.0002987313	0.001252518	2.734159e-05	1.083701e-05	3.564216e-08	3.572816e-05	7.238571e-07	0.001900872	1.001951e-05
3.3601	57698.1	40.08	1.407394e-07	0.002618345	2.050985e-05	-6.385241e-08	0.0002990522	0.001157694	2.510673e-05	1.299979e-05	7.367526e-08	3.413984e-05	6.799893e-07	0.001540975	8.904807e-06
3.5284	46935.34	40.08	5.058295e-08	0.003252886	2.53669e-05	8.468172e-08	0.0003930936	0.001419422	3.166198e-05	1.697109e-05	-8.249778e-09	4.267767e-05	6.961952e-07	0.001936611	1.07241e-05
3.6963	45432.78	40.08	-3.206246e-08	0.002794836	4.141729e-05	6.340061e-08	0.0003619347	0.00137111	2.942596e-05	1.139399e-05	4.252132e-08	3.976714e-05	7.303147e-07	0.001868247	1.075665e-05
