ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
0	43523.88	40.08	5.601135e-08	0.003696963	4.484804e-05	-1.03564e-08	0.0001944378	0.001733361	2.128534e-05	1.833566e-05	-8.75721e-09	6.042432e-05	6.564945e-07	0.001716644	9.505176e-06
0.1675	47764.23	40.08	1.309618e-07	0.003283068	2.035527e-05	5.915009e-08	0.0002138413	0.001601922	1.955484e-05	1.380577e-05	8.940702e-08	5.548184e-05	5.561193e-07	0.00147348	9.114256e-06
0.336	49642.29	40.08	1.644578e-07	0.003360303	2.298051e-05	-9.08117e-09	0.0001822284	0.001516424	1.898858e-05	1.18873e-05	-7.677854e-09	5.676708e-05	5.249548e-07	0.001493035	9.104794e-06
0.5035	57746.58	40.08	1.08326e-07	0.003051388	7.599675e-05	-7.807211e-09	0.0001639015	0.0014331	1.76777e-05	1.101911e-05	-6.600314e-09	4.786922e-05	4.251685e-07	0.00124937	7.387425e-06
0.6718998	49079.32	40.08	8.856793e-08	0.003711743	3.841623e-05	2.578129e-07	0.0002006999	0.00159816	1.98472e-05	2.003049e-05	3.962257e-08	5.769184e-05	5.207347e-07	0.001725999	8.980294e-06
0.8393998	51034.79	40.08	1.599756e-07	0.003264569	4.733781e-05	7.675453e-08	0.000299609	0.001635407	1.984288e-05	8.846751e-06	-7.468318e-09	5.423009e-05	5.99272e-07	0.001883637	8.986925e-06
1.0079	53862.02	40.08	9.833244e-09	0.003283692	4.086988e-05	7.272511e-08	0.0001618182	0.001542226	2.05187e-05	1.35294e-05	7.928466e-08	5.462793e-05	4.278355e-07	0.001477045	9.419877e-06
1.1758	50710.88	40.08	1.23362e-07	0.00338735	2.199749e-05	3.417544e-08	0.0002285867	0.001623974	2.236532e-05	0.002466595	-7.515993e-09	5.815487e-05	5.138922e-07	0.001601289	8.199021e-06
1.3438	51427.64	40.08	3.072151e-07	0.003421958	2.087136e-05	-8.769374e-09	0.0003420546	0.001555301	1.938441e-05	1.416975e-05	3.781313e-08	5.584153e-05	6.337888e-07	0.001629074	8.246521e-06
1.5122	61010.04	40.08	3.997011e-08	0.002753572	8.257762e-05	-7.392523e-09	0.0002756346	0.001280396	1.6015e-05	1.118685e-05	3.187406e-08	4.977033e-05	3.941867e-07	0.001375765	7.387882e-06
1.6797	51111.62	40.08	1.223998e-07	0.003495246	2.882958e-05	3.116539e-07	0.0001856063	0.00154337	1.866938e-05	1.335329e-05	3.804684e-08	5.868527e-05	4.21355e-07	0.001663559	8.362647e-06
1.8482	50098.35	40.08	1.248771e-07	0.003454873	2.633116e-05	-5.259858e-08	0.0001968361	0.001559433	1.829707e-05	1.592905e-05	-7.60783e-09	6.081192e-05	3.897447e-07	0.001603548	1.513654e-05
2.0162	47745.98	40.08	5.10792e-08	0.003807219	2.427152e-05	1.342322e-08	0.0002644996	0.001739467	1.861398e-05	1.768638e-05	1.868626e-07	9.123215e-05	5.984398e-07	0.001809002	9.823886e-06
2.1841	53642.33	40.08	1.1663e-07	0.003547496	2.333321e-05	1.194719e-08	0.00019965	0.001688963	1.930284e-05	2.392514e-05	-7.105177e-09	6.337623e-05	4.951785e-07	0.001669901	9.279789e-06
2.3521	54426.57	40.08	4.481253e-08	0.003600878	2.381625e-05	-8.289456e-09	0.000355353	0.001665663	1.573256e-05	1.466221e-05	-7.002783e-09	6.709986e-05	5.988658e-07	0.001696232	9.322159e-06
2.5201	49474.77	40.08	8.787862e-08	0.003662939	2.719918e-05	-5.326392e-08	0.0002559244	0.001706597	1.812694e-05	1.566272e-05	-7.703659e-09	7.429247e-05	6.384855e-07	0.00183533	1.147696e-05
2.688	52274.85	40.08	1.196858e-07	0.003774994	2.486572e-05	-8.631804e-09	0.0002329279	0.001741718	1.784482e-05	1.526567e-05	3.719995e-08	6.844592e-05	5.46593e-07	0.002039803	9.323325e-06
2.8565	52059.22	40.08	1.935113e-07	0.003526401	2.434353e-05	1.230821e-08	0.0002207565	0.001761602	2.00744e-05	1.399754e-05	1.267044e-07	6.704844e-05	5.971327e-07	0.002319459	1.052267e-05
3.024	52614.07	40.08	1.189174e-07	0.003925433	2.779996e-05	7.444322e-08	0.0003164635	0.001801792	1.774869e-05	1.384989e-05	3.696003e-08	7.15869e-05	6.099421e-07	0.001943283	9.643292e-06
3.1924	56718.1	40.08	1.103142e-07	0.00341059	3.917507e-05	1.129615e-08	0.0002216846	0.001586162	1.787862e-05	1.121841e-05	-6.719792e-09	6.973127e-05	6.72241e-07	0.001719605	9.709814e-06
