ElapsedTime_s	Ca43_CPS	IntStdWv	Li_g_g_m7	Na_g_g_m23	Mg_g_g_m24	Al_g_g_m27	P_g_g_m31	K_g_g_m39	Mn_g_g_m55	Fe_g_g_m57	Cu_g_g_m65	Zn_g_g_m66	Rb_g_g_m85	Sr_g_g_m88	Ba_g_g_m138
0	64590.72	40.08	6.042033e-08	0.003544602	3.877145e-05	2.640664e-08	0.000143063	0.001758023	3.325149e-06	1.929637e-05	-6.063718e-09	4.181777e-05	9.271013e-07	0.001437367	4.313662e-06
0.1682	46938.83	40.08	2.052885e-07	0.004676748	1.770222e-05	3.633742e-08	0.0001634039	0.002094946	4.199347e-06	1.871039e-05	-8.344052e-09	5.500421e-05	9.856724e-07	0.001475154	5.944833e-06
0.3362002	41727.01	40.08	4.772364e-08	0.004561516	1.928051e-05	1.455307e-08	0.0001554787	0.002152818	5.086037e-06	1.607941e-05	4.534072e-08	4.498863e-05	1.108785e-06	0.001699675	5.824594e-06
0.5042	41692.42	40.08	1.923252e-09	0.003759393	1.782905e-05	-1.177968e-08	0.0001584446	0.002230979	4.448896e-06	1.940386e-05	1.001508e-07	5.335433e-05	1.073446e-06	0.001769503	4.856186e-06
0.6721001	36414.24	40.08	1.071677e-07	0.004694598	2.11381e-05	7.700464e-08	0.00024667	0.002381116	5.134876e-06	2.854112e-05	-1.075569e-08	5.518442e-05	1.256716e-06	0.00196642	6.800859e-06
0.8401003	44759.74	40.08	8.718524e-08	0.003669895	1.400826e-05	-3.55116e-08	0.0001235896	0.002189159	4.503814e-06	2.167755e-05	4.226876e-08	5.295014e-05	1.044916e-06	0.001529653	5.560859e-06
1.0081	55626.26	40.08	1.045096e-07	0.003286439	1.349234e-05	1.091762e-08	0.0001063973	0.002072899	4.149629e-06	2.530158e-05	3.401164e-08	4.98071e-05	1.212482e-06	0.001451351	6.168712e-06
1.1761	52376.21	40.08	1.109938e-07	0.003755852	1.962433e-05	3.256651e-08	0.0001928707	0.002065876	6.257199e-06	1.85253e-05	1.233222e-07	4.885245e-05	1.489954e-06	0.001834942	5.615485e-06
1.344	60321.98	40.08	-3.035555e-08	0.004075059	1.616316e-05	1.006816e-08	0.0001244801	0.001615218	4.84675e-06	1.646654e-05	-6.492838e-09	3.978398e-05	1.026122e-06	0.001342832	5.445313e-06
1.5122	54996.93	40.08	1.057031e-07	0.004190821	1.521757e-05	5.098698e-08	0.0001091771	0.001958086	4.563233e-06	2.433616e-05	7.59234e-08	3.900387e-05	1.088825e-06	0.001347818	5.599258e-06
