SampName	Ca
S4A1	40.08
S4B1	40.08
S4C1	40.08
S4D1	40.08
S4E1	40.08
S4F1	40.08
S4G1	40.08
S4H1	40.08
S4A2	40.08
S4B2	40.08
S4C2	40.08
S4D2	40.08
S4E2	40.08
S4F2	40.08
S4G2	40.08
S4H2	40.08
S4A3	40.08
S4B3	40.08
S4C3	40.08
S4D3	40.08
S4E3	40.08
S4F3	40.08
S4G3	40.08
S4H3	40.08
S4A4	40.08
S4B4	40.08
S4C4	40.08
S4D4	40.08
S4E4	40.08
S4F4	40.08
S4G4	40.08
S4H4	40.08
S4A5	40.08
S4B5	40.08
S4C5	40.08
S4D5	40.08
S4E5	40.08
S4F5	40.08
S4G5	40.08
S4H5	40.08
S4A6	40.08
S4B6	40.08
S4C6	40.08
S4D6	40.08
S4E6	40.08
S4F6	40.08
S4G6	40.08
S4H6	40.08
S4A7	40.08
S4B7	40.08
S4C7	40.08
S4D7	40.08
S4E7	40.08
S4F7	40.08
S4G7	40.08
S4H7	40.08
S4A8	40.08
S4B8	40.08
S4C8	40.08
S4D8	40.08
S4E8	40.08
S4F8	40.08
S4G8	40.08
S4H8	40.08
S4A9	40.08
S4B9	40.08
S4C9	40.08
S4D9	40.08
S4E9	40.08
S4F9	40.08
S4G9	40.08
S4H9	40.08
S4A10	40.08
S4B10	40.08
S4C10	40.08
S4D10	40.08
S4E10	40.08
S4F10	40.08
S4G10	40.08
S4H10	40.08
S4A11	40.08
S4B11	40.08
S4C11	40.08
S4D11	40.08
S4E11	40.08
S4F11	40.08
S4G11	40.08
S4H11	40.08
S4A12	40.08
S4B12	40.08
S4C12	40.08
S4D12	40.08
S4E12	40.08
S4F12	40.08
S4G12	40.08
S4H12	40.08
S4A13	40.08
S4B13	40.08
S4C13	40.08
S4D13	40.08
S4E13	40.08
S4F13	40.08
S4G13	40.08
S4H13	40.08
S4A14	40.08
S4B14	40.08
S4C14	40.08
S4D14	40.08
S4E14	40.08
S4F14	40.08
S4G14	40.08
S4H14	40.08
S4A15	40.08
S4B15	40.08
S4C15	40.08
S4D15	40.08
S4E15	40.08
S4F15	40.08
S4G15	40.08
S4H15	40.08
S4A16	40.08
S4B16	40.08
S4C16	40.08
S4D16	40.08
S4E16	40.08
S4F16	40.08
S4G16	40.08
S4H16	40.08
S4A17	40.08
S4B17	40.08
S4C17	40.08
S4D17	40.08
S4E17	40.08
S4F17	40.08
S4G17	40.08
S4H17	40.08
S4A18	40.08
S4B18	40.08
S4C18	40.08
S4D18	40.08
S4E18	40.08
S4F18	40.08
S4G18	40.08
S4H18	40.08
S4A19	40.08
S4B19	40.08
S4C19	40.08
S4D19	40.08
S4E19	40.08
S4F19	40.08
S4G19	40.08
S4H19	40.08
