"Element","F value_Site","p_site_adj","F value_Year","p_year_adj","classification"
"Li7",8.11824642846193,8.71767756163883e-20,13.8239985124708,1.87054202622406e-08,"Spatially variable, NOT temporally stable"
"Na23",3.55828222740482,9.31948916520379e-07,85.3999340274576,8.48178087976944e-45,"Spatially variable, NOT temporally stable"
"Mg24",0.79366081405247,0.715957083567718,10.327467947883,2.01294035195432e-06,"No clear effect"
"Al27",1.45293994205933,0.114109477119534,2.51163868299943,0.0750397002770097,"Temporally stable, NOT spatially variable"
"P31",3.57943836677445,9.14664113903074e-07,23.496863386756,5.7867219715828e-14,"Spatially variable, NOT temporally stable"
"K39",4.83986198070882,2.50556453186341e-10,48.247141190569,4.34403362494535e-27,"Spatially variable, NOT temporally stable"
"Mn55",31.5106270352258,6.7322585586479e-76,2.0809712083049,0.110052965408362,"Spatially variable & temporally stable"
"Fe57",7.80726130112063,5.82006210596216e-19,32.8983094914503,4.87746209620275e-19,"Spatially variable, NOT temporally stable"
"Cu65",1.12213962197779,0.350521420655204,22.001892009142,3.49883117105604e-13,"No clear effect"
"Zn66",2.26802931945899,0.00219021367365711,3.98910647041291,0.0113917873058003,"Spatially variable, NOT temporally stable"
"Rb85",34.42251355212,2.2759736549494e-81,26.745600585852,1.01514435051369e-15,"Spatially variable, NOT temporally stable"
"Sr88",118.817117382996,1.16499865939412e-183,2.43009827930218,0.0759793977577467,"Spatially variable & temporally stable"
"Ba138",77.7910301174241,3.78369589213586e-144,0.906069262786587,0.437808071478453,"Spatially variable & temporally stable"
