"","Anguilla Burn","Back Stream","Benger Burn","Blackcleugh Burn","Canadian Creek","Carsons Creek","Coal Creek","Crookston Burn","Flodden Stream","Fruid Burn","Heriot Burn","Jimmys Creek","Kaihiku Stream","Leithen Burn","Low Burn","Tuapeka Upper","Waipahi Trib A","Waitahuna River","Waiwera River","Whiskey Gully Stream"
"Anguilla Burn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Back Stream",0,25,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Benger Burn",0,0,34,0,18,4,2,1,0,0,3,0,0,2,1,10,2,0,0,3
"Blackcleugh Burn",0,0,0,11,0,2,0,0,6,1,2,3,0,0,0,0,0,0,0,1
"Canadian Creek",0,0,1,1,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"Carsons Creek",0,1,0,5,2,6,0,0,6,0,2,1,5,0,0,0,0,0,0,0
"Coal Creek",0,0,1,0,1,0,37,23,0,0,0,0,0,0,1,3,1,0,0,1
"Crookston Burn",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Flodden Stream",0,0,0,0,0,1,0,0,12,0,0,4,0,0,0,0,0,0,0,2
"Fruid Burn",0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,3,1,0
"Heriot Burn",2,0,3,6,0,11,1,0,0,1,19,0,0,7,0,0,1,0,1,0
"Jimmys Creek",0,4,0,1,0,3,0,0,3,3,0,25,1,0,0,0,0,0,0,0
"Kaihiku Stream",0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"Leithen Burn",2,0,0,1,0,2,0,0,0,2,3,0,0,6,0,0,0,11,1,0
"Low Burn",0,0,0,0,1,0,0,0,0,0,0,0,3,0,20,2,0,1,0,0
"Tuapeka Upper",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
"Waipahi Trib A",2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,18,0,4,0
"Waitahuna River",5,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,7,0,0
"Waiwera River",0,0,0,1,0,1,0,1,0,2,0,1,0,3,0,0,5,7,21,0
"Whiskey Gully Stream",0,0,0,2,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0,23
