"","Anguilla Burn","Back Stream","Benger Burn","Blackcleugh Burn","Canadian Creek","Carsons Creek","Coal Creek","Crookston Burn","Flodden Stream","Fruid Burn","Heriot Burn","Jimmys Creek","Kaihiku Stream","Leithen Burn","Low Burn","Tuapeka Upper","Waipahi Trib A","Waitahuna River","Waiwera River","Whiskey Gully Stream","class.error"
"Anguilla Burn",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0.818181818181818
"Back Stream",0,25,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.166666666666667
"Benger Burn",0,0,26,0,7,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0.333333333333333
"Blackcleugh Burn",0,1,0,11,0,7,0,0,0,2,1,4,1,0,1,0,0,0,1,1,0.633333333333333
"Canadian Creek",0,0,7,0,18,1,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0.4375
"Carsons Creek",0,0,3,7,0,6,0,0,1,0,5,5,5,0,0,0,0,2,2,3,0.846153846153846
"Coal Creek",1,0,1,0,0,0,29,5,0,0,0,0,0,0,2,1,0,0,0,1,0.275
"Crookston Burn",0,0,1,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,1,1,0.444444444444444
"Flodden Stream",0,0,0,1,0,2,0,0,24,0,0,1,0,0,0,0,0,0,0,1,0.172413793103448
"Fruid Burn",0,0,0,3,0,0,0,0,0,18,1,4,0,2,0,0,0,0,0,0,0.357142857142857
"Heriot Burn",0,0,4,2,0,11,0,0,0,0,10,0,0,2,0,0,0,0,1,0,0.666666666666667
"Jimmys Creek",0,1,0,2,0,1,0,0,1,4,0,31,0,0,0,0,0,0,0,1,0.24390243902439
"Kaihiku Stream",0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0.3125
"Leithen Burn",1,0,1,0,2,1,0,0,0,2,3,0,0,10,0,0,0,5,5,0,0.666666666666667
"Low Burn",0,0,0,1,2,0,1,0,0,0,0,0,1,0,21,4,0,0,0,0,0.3
"Tuapeka Upper",0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0.310344827586207
"Waipahi Trib A",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,1,0,0.111111111111111
"Waitahuna River",3,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0,15,1,0,0.482758620689655
"Waiwera River",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,25,0,0.107142857142857
"Whiskey Gully Stream",0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,24,0.2
